Date (CET),Bid Price
2024-04-19 12:00:00,27.2
2024-04-19 16:00:00,10.8
2024-04-19 20:00:00,3.5
2024-04-20 0:00:00,8.9
2024-04-20 4:00:00,11.0
2024-04-20 8:00:00,21.0
2024-04-20 12:00:00,28.7
2024-04-20 16:00:00,12.6
2024-04-20 20:00:00,3.9
2024-04-21 0:00:00,9.5
2024-04-21 4:00:00,6.1
2024-04-21 8:00:00,17.0
2024-04-21 12:00:00,57.2
2024-04-21 16:00:00,16.3
2024-04-21 20:00:00,3.8
2024-04-22 0:00:00,7.1
2024-04-22 4:00:00,5.3
2024-04-22 8:00:00,14.3
2024-04-22 12:00:00,30.2
2024-04-22 16:00:00,13.6
2024-04-22 20:00:00,3.0
2024-04-23 0:00:00,7.2
2024-04-23 4:00:00,6.2
2024-04-23 8:00:00,12.5
2024-04-23 12:00:00,24.2
2024-04-23 16:00:00,10.7
2024-04-23 20:00:00,3.5
2024-04-24 0:00:00,6.1
2024-04-24 4:00:00,3.0
2024-04-24 8:00:00,8.8
2024-04-24 12:00:00,29.5
2024-04-24 16:00:00,9.2
2024-04-24 20:00:00,13.1
2024-04-25 0:00:00,7.9
2024-04-25 4:00:00,4.7
2024-04-25 8:00:00,7.9
2024-04-25 12:00:00,16.5
2024-04-25 16:00:00,11.0
2024-04-25 20:00:00,9.9
2024-04-26 0:00:00,5.9
2024-04-26 4:00:00,3.4
2024-04-26 8:00:00,14.5
2024-04-26 12:00:00,20.8
2024-04-26 16:00:00,10.5
2024-04-26 20:00:00,5.4
2024-04-27 0:00:00,6.1
2024-04-27 4:00:00,7.2
2024-04-27 8:00:00,21.9
2024-04-27 12:00:00,62.6
2024-04-27 16:00:00,10.0
2024-04-27 20:00:00,4.7
2024-04-28 0:00:00,6.4
2024-04-28 4:00:00,6.3
2024-04-28 8:00:00,24.3
2024-04-28 12:00:00,77.7
2024-04-28 16:00:00,23.4
2024-04-28 20:00:00,6.0
2024-04-29 0:00:00,7.4
2024-04-29 4:00:00,6.8
2024-04-29 8:00:00,15.2
2024-04-29 12:00:00,36.6
2024-04-29 16:00:00,14.7
2024-04-29 20:00:00,3.7
2024-04-30 0:00:00,7.1
2024-04-30 4:00:00,2.6
2024-04-30 8:00:00,16.2
2024-04-30 12:00:00,42.7
2024-04-30 16:00:00,13.7
2024-04-30 20:00:00,3.4
2024-05-01 0:00:00,5.0
2024-05-01 4:00:00,3.6
2024-05-01 8:00:00,26.3
2024-05-01 12:00:00,62.7
2024-05-01 16:00:00,13.2
2024-05-01 20:00:00,4.4
2024-05-02 0:00:00,7.1
2024-05-02 4:00:00,4.9
2024-05-02 8:00:00,28.4
2024-05-02 12:00:00,46.1
2024-05-02 16:00:00,10.7
2024-05-02 20:00:00,3.1
2024-05-03 0:00:00,8.2
2024-05-03 4:00:00,5.2
2024-05-03 8:00:00,12.6
2024-05-03 12:00:00,38.4
2024-05-03 16:00:00,11.5
2024-05-03 20:00:00,4.7
2024-05-04 0:00:00,6.2
2024-05-04 4:00:00,8.4
2024-05-04 8:00:00,16.4
2024-05-04 12:00:00,31.5
2024-05-04 16:00:00,12.3
2024-05-04 20:00:00,3.0
2024-05-05 0:00:00,5.3
2024-05-05 4:00:00,4.1
2024-05-05 8:00:00,24.0
2024-05-05 12:00:00,55.0
2024-05-05 16:00:00,23.5
2024-05-05 20:00:00,3.8
2024-05-06 0:00:00,5.4
2024-05-06 4:00:00,5.5
2024-05-06 8:00:00,13.9
2024-05-06 12:00:00,26.6
2024-05-06 16:00:00,14.2
2024-05-06 20:00:00,2.7
2024-05-07 0:00:00,3.9
2024-05-07 4:00:00,4.3
2024-05-07 8:00:00,14.3
2024-05-07 12:00:00,31.3
2024-05-07 16:00:00,8.5
2024-05-07 20:00:00,3.4
2024-05-08 0:00:00,5.1
2024-05-08 4:00:00,1.7
2024-05-08 8:00:00,11.2
2024-05-08 12:00:00,25.1
2024-05-08 16:00:00,12.3
2024-05-08 20:00:00,3.8
2024-05-09 0:00:00,3.8
2024-05-09 4:00:00,2.2
2024-05-09 8:00:00,14.6
2024-05-09 12:00:00,46.6
2024-05-09 16:00:00,12.5
2024-05-09 20:00:00,2.8
2024-05-10 0:00:00,3.4
2024-05-10 4:00:00,2.8
2024-05-10 8:00:00,14.5
2024-05-10 12:00:00,38.9
2024-05-10 16:00:00,14.1
2024-05-10 20:00:00,3.1
2024-05-11 0:00:00,4.6
2024-05-11 4:00:00,1.8
2024-05-11 8:00:00,18.8
2024-05-11 12:00:00,46.0
2024-05-11 16:00:00,14.2
2024-05-11 20:00:00,1.1
2024-05-12 0:00:00,4.7
2024-05-12 4:00:00,3.6
2024-05-12 8:00:00,28.3
2024-05-12 12:00:00,64.3
2024-05-12 16:00:00,27.0
2024-05-12 20:00:00,2.6
2024-05-14 0:00:00,4.6
2024-05-14 4:00:00,9.9
2024-05-14 8:00:00,41.1
2024-05-14 12:00:00,74.1
2024-05-14 16:00:00,24.5
2024-05-14 20:00:00,1.9
2024-05-15 0:00:00,6.8
2024-05-15 4:00:00,9.3
2024-05-15 8:00:00,65.8
2024-05-15 12:00:00,70.5
2024-05-15 16:00:00,22.5
2024-05-15 20:00:00,4.0
2024-05-16 0:00:00,6.1
2024-05-16 4:00:00,5.8
2024-05-16 8:00:00,43.1
2024-05-16 12:00:00,66.6
2024-05-16 16:00:00,16.5
2024-05-16 20:00:00,2.1
2024-05-17 0:00:00,6.3
2024-05-17 4:00:00,8.0
2024-05-17 8:00:00,31.2
2024-05-17 12:00:00,52.3
2024-05-17 16:00:00,13.5
2024-05-17 20:00:00,9.1
2024-05-18 0:00:00,5.3
2024-05-18 4:00:00,6.8
2024-05-18 8:00:00,26.6
2024-05-18 12:00:00,55.0
2024-05-18 16:00:00,17.9
2024-05-18 20:00:00,2.6
2024-05-19 0:00:00,5.2
2024-05-19 4:00:00,4.6
2024-05-19 8:00:00,40.7
2024-05-19 12:00:00,81.4
2024-05-19 16:00:00,31.0
2024-05-19 20:00:00,1.8
2024-05-20 0:00:00,2.9
2024-05-20 4:00:00,7.6
2024-05-20 8:00:00,40.6
2024-05-20 12:00:00,118.3
2024-05-20 16:00:00,37.3
2024-05-20 20:00:00,2.0
2024-05-21 0:00:00,3.3
2024-05-21 4:00:00,5.0
2024-05-21 8:00:00,28.7
2024-05-21 12:00:00,64.1
2024-05-21 16:00:00,27.3
2024-05-21 20:00:00,2.1
2024-05-22 0:00:00,5.5
2024-05-22 4:00:00,13.0
2024-05-22 8:00:00,15.0
2024-05-22 12:00:00,45.6
2024-05-22 16:00:00,15.0
2024-05-22 20:00:00,2.6
2024-05-23 0:00:00,6.7
2024-05-23 4:00:00,7.9
2024-05-23 8:00:00,8.8
2024-05-23 12:00:00,31.3
2024-05-23 16:00:00,12.5
2024-05-23 20:00:00,1.9
2024-05-24 0:00:00,5.2
2024-05-24 4:00:00,4.7
2024-05-24 8:00:00,16.6
2024-05-24 12:00:00,28.7
2024-05-24 16:00:00,10.4
2024-05-24 20:00:00,3.2
2024-05-25 0:00:00,4.1
2024-05-25 4:00:00,4.8
2024-05-25 8:00:00,19.6
2024-05-25 12:00:00,43.3
2024-05-25 16:00:00,15.5
2024-05-25 20:00:00,1.6
2024-05-26 0:00:00,5.2
2024-05-26 4:00:00,5.5
2024-05-26 8:00:00,26.6
2024-05-26 12:00:00,78.7
2024-05-26 16:00:00,23.6
2024-05-26 20:00:00,2.8
2024-05-27 0:00:00,2.9
2024-05-27 4:00:00,9.7
2024-05-27 8:00:00,21.1
2024-05-27 12:00:00,43.7
